,iteration_qEHVI,iteration_qNEHVI,iteration_random,mu,gap
886,0.0,0.0,0.0,0.7078,0.3182
887,,,,1.5444,0.2861
888,,,46.0,1.8767,0.2563
889,,,,3.6602,0.2632
890,,,,1.6691,0.233
891,,,26.0,3.9123,0.223
892,,39.0,,1.3831,0.1466
893,,,,6.1302,0.2497
894,,,,3.1561,0.2865
895,,,,4.3721,0.1771
896,,,,1.623,0.2308
897,,,,2.6578,0.2025
898,,,,2.4008,0.2186
899,,,,5.3004,0.3064
900,,,,5.0507,0.2586
901,,,,2.7082,0.2802
902,,,,5.2934,0.2632
903,,,,2.5145,0.2702
904,,,,3.4141,0.2081
905,,,,1.9105,0.2036
906,,,,1.533,0.2959
907,,,,1.7915,0.2475
908,,,,3.6009,0.1919
909,0.0,0.0,0.0,2.3667,0.2305
910,,,,1.7576,0.2527
911,,,,1.8825,0.3501
912,14.0,,,4.5469,0.325
913,,,,2.9126,0.2119
914,21.0,,,5.0021,0.2106
915,,,,0.2001,0.2616
916,,,,1.09,0.1995
917,,,,0.7004,0.3098
918,,,49.0,2.696,0.208
919,,,15.0,3.4348,0.219
920,,,,0.0787,0.3654
921,,,,2.2543,0.2553
922,,,33.0,1.802,0.2092
923,0.0,0.0,0.0,2.2147,0.2808
924,,,,0.6022,0.1425
925,,,,3.8873,0.3045
926,,,,1.7606,0.2322
927,4.0,,,3.12,0.1774
928,0.0,0.0,0.0,1.119,0.2876
929,,,,2.1297,0.3028
930,,,,1.1491,0.3034
931,,,,2.0993,0.284
932,,,,3.6257,0.2395
933,,,,1.5291,0.2431
934,,,,0.2535,0.3111
935,,,,2.0351,0.2429
936,,,,1.7108,0.301
937,,,,1.3493,0.2341
938,,,,2.0934,0.2622
939,,,,5.0503,0.2876
940,,,,1.7109,0.2482
941,,,,2.242,0.2699
942,,30.0,,4.4539,0.2108
943,,,,3.6006,0.2061
944,,,,2.5467,0.3172
945,,,31.0,3.7893,0.2489
946,,,,3.9717,0.2907
947,,,,1.6416,0.2722
948,,,19.0,4.3041,0.2758
949,,,,3.5267,0.3276
950,,,,0.8959,0.3356
951,,,,1.5768,0.3136
952,,,,0.2648,0.3022
953,,,,1.8387,0.2775
954,,,,1.1481,0.26
955,,,,1.9757,0.2167
956,,,,1.7173,0.3117
957,,,,2.2955,0.2461
958,,,37.0,3.4383,0.2516
959,,,,3.3527,0.2271
960,,,,4.1391,0.2431
961,,,,1.351,0.3194
962,,,,1.8111,0.2291
963,,,,2.2282,0.2776
964,6.0,,,0.7382,0.1623
965,,,,2.2243,0.2267
