,iteration_qEHVI,iteration_qNEHVI,iteration_random,mu,G_free_energy
826,,,,2.1904,-423.012127
827,,,,1.8171,-437.935228
828,,,,2.427,-420.895033
829,,,,3.5901,-436.806217
830,,,29.0,3.4474,-403.245691
831,,,,2.4866,-421.856464
832,,,,1.9413,-414.236195
833,,,,2.2261,-365.053406
834,,8.0,,5.1549,-434.615035
835,,,,1.2407,-401.93631
836,35.0,,,5.0262,-437.918934
837,,,,2.9742,-439.136777
838,,,,3.4525,-439.150823
839,,,,2.8978,-403.073652
840,,,,2.6049,-424.254669
841,,,,6.6091,-379.727846
842,,,25.0,2.6977,-424.212991
843,,,,4.3447,-457.822186
844,,,,1.6536,-384.636349
845,,,,1.6521,-440.342707
846,42.0,,,3.8817,-450.238713
847,,,,0.2337,-350.015791
848,,,,2.5857,-403.161776
849,,,,1.198,-456.393277
850,,,,3.1457,-425.440233
851,,,,5.5554,-448.984979
852,,,,3.0459,-418.010949
853,,,,3.3332,-439.173043
854,5.0,,,6.4137,-470.033501
855,,,,3.9773,-404.406059
856,,,,3.4935,-402.017274
857,,,41.0,4.1237,-382.095202
858,,,44.0,1.0538,-388.304411
859,,,,4.0091,-437.857996
860,,,,0.0584,-353.598706
861,48.0,,,1.5234,-419.627803
862,,,,2.1515,-404.337249
863,,,,1.0923,-385.833793
864,,,,2.0712,-399.821805
865,,,,2.0856,-421.818726
866,21.0,,,2.674,-455.790413
867,,,,3.7526,-441.495235
868,,,,2.1424,-363.833841
869,0.0,0.0,0.0,2.6113,-491.150173
870,,,,0.9819,-347.810034
871,,,,2.1383,-401.929898
872,,,,1.8655,-425.449342
873,,,,0.2344,-384.949702
874,,,,2.0859,-436.728549
875,,,,1.9466,-476.257301
876,,,,2.8965,-424.258873
877,1.0,,,4.0015,-496.130656
878,0.0,0.0,0.0,2.6915,-471.226548
879,,,,3.2935,-440.326002
880,,,,3.3765,-398.121408
881,,,,2.0496,-425.455292
882,,,,1.902,-387.109551
883,25.0,,,6.4243,-471.296377
884,,,,3.3652,-456.585889
885,,,,5.7584,-437.983815
886,,,,1.6941,-476.247093
887,,,32.0,1.9353,-418.497422
888,4.0,,,3.4297,-434.111611
889,0.0,0.0,0.0,1.9685,-384.644575
890,,,,0.1551,-352.403981
891,,,,1.3279,-388.29586
892,,,,2.0348,-365.937689
893,,,,1.7933,-385.886453
894,,,,1.5728,-387.140215
895,,,,4.2365,-457.795609
896,,,,0.7404,-424.269858
897,,,,1.6571,-424.232373
898,,,,3.4399,-439.107913
899,,,,5.1957,-435.269794
900,,,,1.6168,-403.088031
901,,,30.0,0.8243,-403.14831
902,,,,0.3087,-310.679653
903,,,,4.2884,-421.851362
904,,,,1.0618,-403.226022
905,,,,2.8858,-347.861999
906,,,,3.6802,-439.087963
907,,,,3.3875,-419.232833
908,,,,6.6505,-395.732738
909,,,,1.7139,-404.328745
910,,,,1.2056,-403.194569
911,,,,0.8528,-351.158251
912,10.0,,,2.4591,-430.671093
913,,,,1.4842,-451.585192
914,,,,4.7228,-415.594312
915,,,,2.6272,-347.869772
916,,,,2.6323,-399.80448
917,,,,5.2033,-450.241379
918,,,,4.4907,-437.983521
919,,,,4.7457,-400.731912
920,,,,1.5727,-363.913883
921,,,,1.9968,-414.257792
922,,,,4.117,-418.029078
923,,,11.0,2.2717,-425.49135
924,,,,1.581,-401.919993
925,,,,3.1277,-424.267626
926,,,,2.991,-424.264453
927,,,,2.2481,-419.20579
928,,,,3.628,-440.288873
929,,,,1.5535,-437.830604
930,0.0,0.0,0.0,2.9286,-385.913212
931,,,,2.7766,-387.150202
932,,,,2.9894,-384.681549
933,,,,0.2459,-351.167769
934,,,37.0,1.9904,-457.711027
935,0.0,0.0,0.0,1.5652,-364.740998
936,,,,1.0046,-455.228662
937,,,,4.3603,-304.71314
938,,,,2.6083,-435.336262
939,,19.0,,5.3861,-439.124049
940,,,,1.1711,-418.093495
941,,,,3.5207,-363.815235
942,9.0,,,1.2663,-497.954824
943,,,,1.1858,-421.749629
944,,,,2.0442,-424.259753
945,0.0,0.0,0.0,1.9847,-411.783465
946,,,,1.1289,-448.960453
