,iteration_qEHVI,iteration_qNEHVI,iteration_random,mu,alpha
939,0.0,0.0,0.0,2.7414,74.89
940,,,,0.6505,77.32
941,,,,2.9751,68.86
942,,,,2.2533,68.15
943,,,47.0,3.3274,69.77
944,,,,2.5473,83.64
945,,,,3.0622,72.69
946,,,,3.3356,64.34
947,,,,1.3113,68.68
948,,,,2.491,74.15
949,,,,4.299,72.26
950,,19.0,,1.209,84.99
951,,,,4.4461,79.79
952,0.0,0.0,0.0,3.6005,75.25
953,,,,3.3987,64.79
